,xdp-mptm-main,bcc,ingress-node-firewall-master,ebpf-ratelimiter-main,bpf-filter-master,cilium,katran,ebpf-samples,xdp-mptm-main_count,bcc_count,ingress-node-firewall-master_count,ebpf-ratelimiter-main_count,bpf-filter-master_count,cilium_count,katran_count,ebpf-samples_count
tail_rev_nodeport_lb4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ct_delete4,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
xdp_prog_simple,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
__bpf_no_builtin_memset,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
test_repro,[],[],[],[],[],[],[],"['sched_act', 'cgroup_sysctl', 'flow_dissector', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'lwt_in', 'cgroup_device', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",0,0,0,0,0,0,0,23
balancer_ingress,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
mptm_redirect,['xdp'],[],[],[],[],[],[],[],1,0,0,0,0,0,0,0
tail_nodeport_nat_ipv6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__swahw32s,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
tail_ipv6_to_endpoint,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_load_nexthdr,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
__swahb32s,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
assign_socket,[],[],[],[],[],"['sched_act', 'sched_cls', 'xdp']",[],[],0,0,0,0,0,3,0,0
xdp_load_bytes,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
__be16_to_cpup,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
__bpf_no_builtin_memmove,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
handle_policy_egress,[],[],[],[],[],"['sched_act', 'flow_dissector', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,21,0,0
__fswab64,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
__fswahb32,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
tail_handle_nat_fwd_ipv6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
memmove,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
rol32,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']","['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'lwt_in', 'cgroup_device', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],0,0,0,0,0,23,23,0
tail_srv6_reply,[],[],[],[],[],['xdp'],[],[],0,0,0,0,0,1,0,0
ipv6_addr_is_mapped,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
xdp_root,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
__swab32s,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
bpf_tail_call_static,[],[],"['sched_act', 'flow_dissector', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],[],[],[],0,0,21,0,0,0,0,0
from_overlay,[],[],[],[],[],"['sched_act', 'sched_cls', 'xdp']",[],[],0,0,0,0,0,3,0,0
sock6_getpeername,[],[],[],[],[],"['sched_act', 'sched_cls']",[],[],0,0,0,0,0,2,0,0
test_packet_access,[],[],[],[],[],[],[],"['sched_act', 'flow_dissector', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",0,0,0,0,0,0,0,21
tail_rev_nodeport_lb6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_nodeport_ipv6_dsr,[],[],[],[],[],['xdp'],[],[],0,0,0,0,0,1,0,0
tail_handle_arp,[],[],[],[],[],['xdp'],[],[],0,0,0,0,0,1,0,0
sock6_post_bind,[],[],[],[],[],"['sched_act', 'lwt_xmit', 'sched_cls', 'lwt_out', 'lwt_in', 'lwt_seg6local']",[],[],0,0,0,0,0,6,0,0
sock6_sendmsg,[],[],[],[],[],"['sched_act', 'sched_cls']",[],[],0,0,0,0,0,2,0,0
__cpu_to_le64p,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
tail_srv6_encap,[],[],[],[],[],['xdp'],[],[],0,0,0,0,0,1,0,0
custom_hook,[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'cgroup_device', 'lwt_in', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],[],0,0,0,0,0,23,0,0
to_netdev,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
encap_v6,[],[],[],[],[],[],"['sched_act', 'flow_dissector', 'cgroup_sysctl', 'kprobe', 'cgroup_sock', 'lwt_seg6local', 'raw_tracepoint', 'xdp', 'cgroup_sock_addr', 'sk_msg', 'sock_ops', 'sk_skb', 'sched_cls', 'lwt_out', 'socket_filter', 'perf_event', 'lwt_xmit', 'cgroup_skb', 'lwt_in', 'cgroup_device', 'sk_reuseport', 'raw_tracepoint_writable', 'tracepoint']",[],0,0,0,0,0,0,23,0
