,ebpf-samples,cilium,bpf-filter-master,ebpf-ratelimiter-main,bcc,ingress-node-firewall-master,katran,xdp-mptm-main,ebpf-samples_count,cilium_count,bpf-filter-master_count,ebpf-ratelimiter-main_count,bcc_count,ingress-node-firewall-master_count,katran_count,xdp-mptm-main_count
gue_record_route,[],[],[],[],[],[],"['perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],0,0,0,0,0,0,21,0
gue_encap_v6,[],[],[],[],[],[],"['lwt_seg6local', 'xdp', 'sched_act', 'lwt_out', 'sched_cls', 'lwt_in', 'lwt_xmit']",[],0,0,0,0,0,0,7,0
foo,"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],[],23,0,0,0,0,0,0,0
tail_nodeport_ipv6_dsr,[],['xdp'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
bpf_sockmap,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
caller,"['perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],[],21,0,0,0,0,0,0,0
__revalidate_data_pull,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
ingress_node_firewall_process,[],[],[],[],[],['xdp'],[],[],0,0,0,0,0,1,0,0
sock4_pre_bind,[],"['sched_cls', 'sched_act']",[],[],[],[],[],[],0,2,0,0,0,0,0,0
bpf_xdp_entry,[],"['sched_cls', 'xdp', 'sched_act']",[],[],[],[],[],[],0,3,0,0,0,0,0,0
hash_64,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
hello,[],[],[],[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],0,0,0,0,23,0,0,0
tail_ipv4_policy,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
mptm_pass,[],[],[],[],[],[],[],['xdp'],0,0,0,0,0,0,0,1
bpf_filter,[],[],"['sched_cls', 'sched_act']",[],[],[],[],[],0,0,2,0,0,0,0,0
__fswab16,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
ct_delete4,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
ipv4_l4_csum,[],[],[],[],[],[],"['lwt_seg6local', 'xdp', 'sched_act', 'lwt_out', 'sched_cls', 'lwt_in', 'lwt_xmit']",[],0,0,0,0,0,0,7,0
balancer_ingress,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
jhash_2words,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],0,23,0,0,0,0,23,0
bpf_tail_call_static,[],[],[],[],[],"['perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],0,0,0,0,0,21,0,0
__swab16s,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
from_netdev,[],['xdp'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
tail_rev_nodeport_lb6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
read_write_packet_start,"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],[],23,0,0,0,0,0,0,0
__swab64s,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
l4_csum_replace,[],"['sched_cls', 'sched_act', 'lwt_xmit']",[],[],[],[],[],[],0,3,0,0,0,0,0,0
tail_handle_ipv6_from_netdev,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
from_network,[],['xdp'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
sock6_pre_bind,[],"['sched_cls', 'sched_act']",[],[],[],[],[],[],0,2,0,0,0,0,0,0
handle_policy,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
handle_xgress,[],"['sched_cls', 'xdp', 'sched_act']",[],[],[],[],[],[],0,3,0,0,0,0,0,0
test,"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],[],23,0,0,0,0,0,0,0
tail_ipv4_host_policy_ingress,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
RAW_TRACEPOINT_PROBE,[],[],[],[],"['perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],0,0,0,0,21,0,0,0
sock4_sendmsg,[],"['sched_cls', 'sched_act']",[],[],[],[],[],[],0,2,0,0,0,0,0,0
__fswahb32,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
__fswahw32,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
tail_icmp6_send_time_exceeded,[],['xdp'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
__swahb32s,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
tail_nodeport_nat_ipv4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
main,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],['cgroup_sysctl'],[],[],[],[],0,23,0,1,0,0,0,0
ct4_cilium_dbg_tuple,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
callee,"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],[],23,0,0,0,0,0,0,0
reallocate_invalidates,"['sk_skb', 'sched_cls', 'sched_act', 'lwt_xmit']",[],[],[],[],[],[],[],4,0,0,0,0,0,0,0
__cpu_to_be64p,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
__bpf_no_builtin_memset,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
sock6_getpeername,[],"['sched_cls', 'sched_act']",[],[],[],[],[],[],0,2,0,0,0,0,0,0
xdp_root,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
tail_lb_ipv4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_nodeport_ipv4_dsr,[],['xdp'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
ct_delete6,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
sock4_recvmsg,[],"['sched_cls', 'sched_act']",[],[],[],[],[],[],0,2,0,0,0,0,0,0
gue_encap_v4,[],[],[],[],[],[],"['lwt_seg6local', 'xdp', 'sched_act', 'lwt_out', 'sched_cls', 'lwt_in', 'lwt_xmit']",[],0,0,0,0,0,0,7,0
from_host,[],['xdp'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
to_host,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_addr_is_mapped,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
pktcntr,[],[],[],[],[],[],['xdp'],[],0,0,0,0,0,0,1,0
tail_handle_nat_fwd_ipv4,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__bpf_no_builtin_memcpy,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
__le32_to_cpup,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
__bpf_no_builtin_memmove,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
mptm_decap,[],[],[],[],[],[],[],['xdp'],0,0,0,0,0,0,0,1
healthcheck_encap,[],[],[],[],[],[],"['sched_cls', 'sched_act']",[],0,0,0,0,0,0,2,0
tail_handle_nat_fwd_ipv6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
ipv6_addr_in_net,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
combine_ports,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
tail_srv6_decap,[],['xdp'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
xdp_load_bytes,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
tail_nodeport_nat_ipv6,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
tail_handle_ipv6_from_host,[],[],[],[],[],[],[],[],0,0,0,0,0,0,0,0
__le16_to_cpup,[],"['cgroup_sysctl', 'perf_event', 'sock_ops', 'flow_dissector', 'sk_msg', 'sk_skb', 'cgroup_device', 'lwt_seg6local', 'socket_filter', 'tracepoint', 'xdp', 'sched_act', 'cgroup_skb', 'raw_tracepoint', 'cgroup_sock', 'cgroup_sock_addr', 'sched_cls', 'lwt_in', 'lwt_xmit', 'sk_reuseport', 'lwt_out', 'raw_tracepoint_writable', 'kprobe']",[],[],[],[],[],[],0,23,0,0,0,0,0,0
tail_srv6_encap,[],['xdp'],[],[],[],[],[],[],0,1,0,0,0,0,0,0
